,experience,education
Toronto, Canada Area
Developed a smart system that can detect mild cognitive impairment (MCI) in older adults using unobtrusive sensing technologies.

Using support vector machines and affinity propagation, I designed a smart s... See more
Title
Data Science Research Assistant
Dates Employed
Sep 2008 дус Aug 2010
Employment Duration
2 yrs
Location
Toronto, Canada Area
Designed a novel accelerometer-based gesture recognition system.

For data acquisition, I defined a dictionary of 18 gestures and created a database of over 3,700 traces from 7 subjects (5 males and 2 females). To the best of my know... See more","Education
University of Toronto
Degree Name
Doctorate of Philosophy (PhD)
Field Of Study
Machine Learning, Pattern Recognition, and Data Science
Dates attended or expected graduation
2010 дус 2015
Activities and Societies: Graduate Student Member, IEEE Young Professionals Graduate Student Member, IEEE Engineering in Medicine and Biology Society Graduate Student Member, IEEE
University of Toronto
Degree Name
Master of Applied Science (MASc)
Field Of Study
Signal Processing, Pattern Recognition, and Machine Learning
Dates attended or expected graduation
2008 дус 2010
University of New Brunswick
Degree Name
Bachelor's degree
Field Of Study
Electrical and Computer Engineering
Dates attended or expected graduation
2000 дус 2002"

alessandra-fraquelli-434324a1,"Experience
Company Name
KPMG Canada
Total Duration
1 yr 7 mos
Title
Senior Consultant (Data Scientist), Data & Analytics
Dates Employed
Oct 2018 дус Present
Employment Duration
11 mos
Location
Toronto, Canada Area
дуў Projects involve working closely with clients in order to understand the business and their analytical needs
дуў Projects involve leveraging the power of data and analytics, intelligent automation and machine learning to solve complex client problems and translating insights into actionable items
дуў Extensive experience building predictive models; working with Big Data, feature engineering, applying dimension reduction techniques, model development and selection, testing, etc.... See more
Title
Senior Consultant, Risk Consulting
Dates Employed
Feb 2018 дус Sep 2018
Employment Duration
8 mos
Location
Toronto, Canada Area
Quantitative Analyst, Credit Risk Modeling
Company Name
CIBC
Dates Employed
Apr 2016 дус Feb 2018
Employment Duration
1 yr 11 mos
Location
Toronto, Canada Area
дуў Collected, cleaned and manipulated complex data structures to extract relevant data-driven insights
дуў Built and validated supervised and unsupervised predictive models (Scorecards, Regressions, Decision Trees, Bayesian Networks, Clustering Algorithms, etc.)... See more
Actuarial Analyst- Corporate Actuarial Methods & Standards
Company Name
Sun Life Financial
Dates Employed
Jun 2014 дус Aug 2015
Employment Duration
1 yr 3 mos
Location
Toronto, Ontario, Canada
дуў Assisted with the quarterly review and consolidation of company-wide actuarial assumption
changes. Responsibilities include ensuring a sound control environment for the review
process, tracking team member progress and ensuring that reviews are comp... See more
Actuarial Intern- International Consulting Group
Company Name
Towers Watson
Dates Employed
May 2013 дус Jan 2014
Employment Duration
9 mos
Location
New York City (May-August) & Montreal (October-January)
дуў Primary responsibilities included reviewing and preparing quarterly pension accounting entries
for multi-national corporations, assisting with global benefits benchmarking projects and... See more","Education
University of Toronto
Degree Name
Masterду»s Degree
Field Of Study
Statistics
Grade
4.0 GPA
Dates attended or expected graduation
2015 дус 2016
Concordia University
Degree Name
Bachelor's degree
Field Of Study
Actuarial Mathematics & Finance
Dates attended or expected graduation
2010 дус 2013
- GPA: 4.2/4.3
- Degree conferred with Great Distinction (2013)
- Towers Watson Academic Scholarship (2013)
- Concordia University Staff Endowed Scholarship (2013)
- Member of the Golden Key International Honor Society (2011)
- Concordia University Entrance Scholarship (2010)
UNSW Australia
Degree Name
Concordia University Exchange Program
Field Of Study
Actuarial Mathematics & Finance
Dates attended or expected graduation
2012 дус 2012"

alina-li-zhang-a82974a4,"Experience
Data Scientist
Company Name
superQuery
Dates Employed
Nov 2018 дус Present
Employment Duration
10 mos
Location
Toronto, Canada Area
AI Query Optimization Engine
- Build and improve Machine Learning models to predict costs on Google Cloud BigQuery service
- Cost models, Timing models, Cost savings models, and User behaviour models
- PegJS Parser Improvement

Data Scientist
Company Name
nobul
Dates Employed
May 2018 дус Oct 2018
Employment Duration
6 mos
Location
Toronto, Canada Area
Property Listing Predictive Modelling
Score each property in Miami, Dallas and LA using Machine Learning algorithms to identify who is most likely to list their home for sale in future 3-6 months with over 70% accuracy.... See more
Software Developer
Company Name
IBM
Dates Employed
Oct 2015 дус May 2018
Employment Duration
2 yrs 8 mos
Location
Toronto, Canada Area
Owner of component Workload Manager in DB2 kernel
Graduate Teaching Assistant
Company Name
Western University
Dates Employed
Sep 2014 дус Feb 2016
Employment Duration
1 yr 6 mos
Location
London, Canada Area
Foundations of Programming for High Performance Computing
Computer Science
Software Developer
Company Name
Tech
Dates Employed
Jul 2010 дус Jul 2014
Employment Duration
4 yrs 1 mo
Location
China
Full stack software development
Show 2 more experiences","Education
Western University
Degree Name
Master of Science (M.Sc.)
Field Of Study
Computer Science
Dates attended or expected graduation
2014 дус 2015
Compiler Construction; Computer Architecture; Operating Systems; Databases; Artificial Intelligence; Computer vision
Zhejiang University
Degree Name
Master of Science (M.Sc.)
Field Of Study
Computer Science
Dates attended or expected graduation
2007 дус 2010
Activities and Societies: Vice-chairman of Computer Science Department Student Union
Compiler Construction; Computer Architecture; Operating Systems; Databases;
Artificial Intelligence; Computer vision"

ariel-sibilia-b099b779,"Experience
Data Scientist
Company Name
ColorXTC
Dates Employed
Jan 2016 дус Present
Employment Duration
3 yrs 8 mos
Location
Etobicoke Ontario
This is a startup, which is at the research phase and is surviving on funding. My role is to use supervised regression based methods in order to predict the spectral output of a printing device given its inputs, as well as come up with creative ways to farther expand our predictive capabilities. Eventually we will apply these methods systematically to printing press clients.
Data Scientist
Company Name
Terapeak
Dates Employed
May 2014 дус Aug 2015
Employment Duration
1 yr 4 mos
Location
Toronto, Canada
Terapeak is primarily a company that uses e-commerce data to provide analytics to sellers. My role is to try and build the next generation service for the company. With a data science team, I am constructing unique and specific machine learning algorithms in order to make the service automatically generate statistics for the user that i... See more
Company Name
The University of British Columbia
Total Duration
2 yrs
Title
Research Assistant (Theoretical Physics - String Theory)
Dates Employed
2011 дус 2013
Employment Duration
2 yrs
I performed a research project on String Theory. Particularly, under certain limits in String Theory there's a model called the ""Born Infeld Action"" that describes objects called ""D-branes"" whose coordinates are Hermitian matrices. I numerically solved for the coordinates of the D-branes in a particular configuration in four spatial di... See more
Title
Teaching Assistant
Dates Employed
Sep 2011 дус Apr 2012
Employment Duration
8 mos
I was an assigned TA for several undergraduate physics classes. My three major tasks were lab coordinator, tutorial coordinator, and marker.

In the lab, I introduced the physics that motivates the experiment that the stu... See more","Education
York University - Schulich School of Business
Degree Name
Master's Degree
Field Of Study
Business Analytics
Dates attended or expected graduation
2013 дус 2014
The University of British Columbia
Degree Name
Master of Science (MS)
Field Of Study
Physics
Dates attended or expected graduation
2011 дус 2013
Activities and Societies: Physics & Astronomy Rec. teams (including soccer, ultimate frisbee, softball, dodgeball, and voleyball).
York University
Degree Name
Bachelor of Science (BS)
Field Of Study
Physics
Dates attended or expected graduation
2005 дус 2010
Activities and Societies: Part of the student run Astronomy club. Helped host an astronomy symposium event, including hosting the cosmology section of the event and answering people's questions about cosmology."

ashleyjones-ds,"Experience
Data Scientist
Company Name
Insight Data Science
Dates Employed
Sep 2018 дус Present
Employment Duration
1 yr
Location
Toronto, Canada Area
A scholarship program intended to help further fellows with data science within the industrial sector

- Trained and tested Money Puck, a tool to help NHL General Managers value their players.
- Used Python to implement a K-means cluster analysis, random-forest classification, and multivariate linear regression to predict player value based on player performance metrics (Scikit-Learn,Statsmodels)... See more
Data Science for fun
Company Name
Self Interest
Dates Employed
2016 дус 2019
Employment Duration
3 yrs
Location
Toronto, Canada Area
As relevant work experience projects, I am designing and writing python code for the development of a Baseball, and Ice Hockey game. The games are based on old rotisserie styled games produced by the Avalon Hill Company (Statis Pro Baseball, Statis Pro Hockey). The concept uses real-time statistics of professional players and th... See more
Data Scientist and Software Designer
Company Name
Environment and Climate Change Canada
Dates Employed
Aug 2017 дус Jun 2018
Employment Duration
11 mos
Location
Toronto, Canada
- Wrote Python scripts for the automated acquisition of aerosol data from the NOAA (NASA) database
- Designed and implemented scripts using Python and (My)SQL to produce SQL object oriented databases... See more
Data Scientist
Company Name
Chalmers University of Technology
Dates Employed
2015 дус 2017
Employment Duration
2 yrs
Location
Gothenburg, Sweden
Data scientist and researcher, assisting work in the Global Environmental Measurements and Modelling group.
- Managed a NetCDF database using MATLAB as part of a European Space Agencyду»s (ESA) Climate Change Initiative (CCI) for ozone to help produce zonally avera... See more
Company Name
University of Toronto
Total Duration
6 yrs
Title
Post Doctoral Fellow
Dates Employed
2009 дус 2015
Employment Duration
6 yrs
Location
Toronto, Canada Area
- ACE-FTS climatology project
Constructed monthly and tri-monthly zonal average climatologies for the 14 baseline species, O3, H2O, CH4, N2O, CO, NO, NO2, N2O5, HNO3, HCl, ClONO2, CCl3F, CCl2F2, and HF, measured by the ACE Fourier Transform Spectrometer (ACE-FTS). Th... See more
Title
Teacher
Dates Employed
Jan 2013 дус Apr 2013
Employment Duration
4 mos
Taught a Radiative Transfer and Remote Sensing course to graduate students.
Show 1 more role
Show 2 more experiences","Education
Chalmers University of Technology
Degree Name
Doctor of Philosophy (PhD)
Field Of Study
Radio and Space Science
Grade
Pass
Dates attended or expected graduation
2003 дус 2009
University of East Anglia
Degree Name
Master's degree
Field Of Study
Mathematical modeling of the Environment
Grade
Pass
Dates attended or expected graduation
2000 дус 2001
Activities and Societies: Varsity Basketball, Varsity Baseball, Varsity Football (American style)
University of East Anglia
Degree Name
Undergraduate
Field Of Study
Mathematics
Grade
2-2
Dates attended or expected graduation
1996 дус 2000
Activities and Societies: Varsity Basketball Team, Varsity Basketball Team Coach, Varsity Baseball Team"

behnaz-torabi,"Experience
Data Science Intern
Company Name
Shopify
Dates Employed
Jan 2019 дус May 2019
Employment Duration
5 mos
Business Analyst
Company Name
Inflection Group
Dates Employed
2018 дус 2019
Employment Duration
1 yr
Location
Toronto, Canada Area
Data Scientist and Market Researcher
Company Name
Metro College of Technology
Dates Employed
2017 дус 2018
Employment Duration
1 yr
Location
Toronto, Canada Area
Data Analyst
Company Name
EKS
Dates Employed
2014 дус 2016
Employment Duration
2 yrs
Location
Iran
Supply Chain Analyst
Company Name
MashhadForging
Dates Employed
2010 дус 2014
Employment Duration
4 yrs
Location
Iran","Education
Metro College of Technology
Field Of Study
Advanced Diploma, Data Science and Applications
Dates attended or expected graduation
2017 дус 2018
Ferdowsi University of Mashhad
Degree Name
Masterду»s Degree
Field Of Study
Management
Dates attended or expected graduation
2007 дус 2010
Evaluated as equivalent Canadian Masters degree by World Education Services (WES), Toronto, Ontario
Shahid Bahonar University of Kerman (SBU)
Degree Name
Bachelor's degree
Field Of Study
Industrial Engineering
Dates attended or expected graduation
2002 дус 2006
Evaluated as equivalent Canadian Bachelor degree by World Education Services (WES), Toronto, Ontario
Show 1 more education"

bencheng-wei-ba7a04136,"Experience
Data Scientist
Company Name
Bell
Dates Employed
Nov 2018 дус Present
Employment Duration
10 mos
Company Name
Scarsin Corporation
Total Duration
1 yr 6 mos
Title
Data Scientist
Dates Employed
Sep 2017 дус Oct 2018
Employment Duration
1 yr 2 mos
Location
Greater Toronto Area
Title
Data Scientist Internship
Dates Employed
May 2017 дус Sep 2017
Employment Duration
5 mos
Location
Greater Toronto Area
Research Assistant
Company Name
University of Toronto - Ontario Institute for Studies in Education
Dates Employed
Feb 2017 дус Apr 2017
Employment Duration
3 mos
Location
Toronto, Canada Area
Software Engineer Intern
Company Name
Big Solve Robotics
Dates Employed
Oct 2016 дус Jan 2017
Employment Duration
4 mos
Location
Toronto, Ontario, Canada
Marketing Intern
Company Name
WelcomePack Canada Inc.
Dates Employed
May 2015 дус Sep 2015
Employment Duration
5 mos
Location
Greater Toronto Area
Show 1 more experience","Education
University of Toronto
Degree Name
Bachelor's degree
Field Of Study
Mathematics and Statistics
Grade
cGPA 3.6/4
Dates attended or expected graduation
2013 дус 2017
The University of Hong Kong
Grade
GPA 4.0
Dates attended or expected graduation
2014 дус 2014"

briankeng,"Experience
Company Name
Rubikloud Technologies
Total Duration
5 yrs
Title
Chief Data Scientist
Dates Employed
Nov 2016 дус Present
Employment Duration
2 yrs 10 mos
Location
Toronto, Canada Area
Title
Lead Data Scientist
Dates Employed
Sep 2014 дус Oct 2016
Employment Duration
2 yrs 2 mos
Location
Toronto, Canada Area
Adjunct Professor, Data Science
Company Name
University of Toronto - Rotman School of Management
Dates Employed
Apr 2018 дус Present
Employment Duration
1 yr 5 mos
Location
Toronto, Canada Area
Sessional Lecturer
Company Name
University of Toronto
Dates Employed
Jan 2014 дус Apr 2015
Employment Duration
1 yr 4 mos
дуў Course instructor for core Electrical and Computer Engineering undergraduate course: Algorithms and Data Structures (ECE 345).
дуў Delivered three weekly lectures to 100+ students about the design and analysis of algorithms and data structures.... See more
Senior Data Scientist - Technical Lead
Company Name
Marketwired
Dates Employed
Jul 2013 дус Aug 2014
Employment Duration
1 yr 2 mos
дуў Technical lead and senior data scientist for a six-member research team developing innovative social media analytics for the Sysomos social media monitoring and analytics platform.
дуў Advised, researched and developed solutions for enterprise clients on how ... See more
Company Name
Vennsa Technologies, Inc
Total Duration
6 yrs
Title
Senior Software Engineer
Dates Employed
Sep 2009 дус Apr 2013
Employment Duration
3 yrs 8 mos
дуў Fifth employee of Vennsa Technologies Inc., a startup company in the Electronic Design Automation industry commercializing over 15 years of academic research in automated hardware debugging.
дуў Senior C++ developer and principal researcher responsible for devising, im... See more
Title
Software Engineer
Dates Employed
May 2007 дус Aug 2009
Employment Duration
2 yrs 4 mos
дуў Key developer on C++ automated hardware debugging tool.
дуў Implemented several key features and enhancements that improved performance and quality-of-results of debugging algorithms.
дуў Created hundreds of unit and regression tests to verify functionality and ma... See more
Show 4 more experiences","Education
University of Toronto
Degree Name
PhD
Field Of Study
Computer Engineering
Dates attended or expected graduation
2009 дус 2013
Activities and Societies: University of Toronto Engineering Toastmasters
University of Toronto
Degree Name
MASc
Field Of Study
Computer Engineering
Dates attended or expected graduation
2007 дус 2009
University of Waterloo
Degree Name
BASc
Field Of Study
Computer Engineering
Dates attended or expected graduation
2002 дус 2007
Activities and Societies: IEEE Student Branch"

chris-laver-81643a3b,"Experience
Chief Data Scientist
Company Name
Chisel AI
Dates Employed
Feb 2019 дус Present
Employment Duration
7 mos
Location
Toronto, Canada Area
Company Name
RBC
Total Duration
4 yrs
Title
Distinguished Data Scientist
Dates Employed
Sep 2016 дус Jan 2019
Employment Duration
2 yrs 5 mos
Title
Chief Data Scientist, Enterprise Information Management
Dates Employed
Dec 2015 дус Sep 2016
Employment Duration
10 mos
Show 1 more role
Senior Data Scientist
Company Name
Chango
Dates Employed
Feb 2013 дус Jan 2015
Employment Duration
2 yrs
Location
Toronto
Provided technical leadership and expertise in algorithm design and data analytics. Designed systems and algorithms for processing terabytes of data per day, optimizing for audience targeting, creative selection, and advertising inventory analysis
... See more
Founder & President
Company Name
Algorithmic Intelligence Inc.
Dates Employed
May 2011 дус Feb 2013
Employment Duration
1 yr 10 mos
Location
Toronto, Ontario
Algorithmic Intelligence Inc. was founded in 2011 with the intention of bringing machine learning, artificial intelligence, and GPU computing solutions to businesses, to enhance processes and products.
... See more
Software Design Engineer
Company Name
Microsoft
Dates Employed
2006 дус 2009
Employment Duration
3 yrs
Location
Redmond, Washington
As a software development engineer, I was responsible for design, development, and testing of Setup and Deployment tools for Microsoft Dynamics CRM.

- Participated in collecting user input from previous versions of CRM softwar... See more
Show 1 more experience","Education
University of Guelph
Degree Name
PhD (Did not complete)
Field Of Study
Machine Learning & Artificial Intelligence
Dates attended or expected graduation
2009 дус 2011
Completed 2 years of PhD studies at UofG
University of New South Wales
Degree Name
MEngSc
Field Of Study
Computer Science
Dates attended or expected graduation
2004 дус 2005
University of Waterloo
Degree Name
BMath, Honours
Field Of Study
Computer Science
Dates attended or expected graduation
1999 дус 2004"

danielhma,"Experience
Data Scientist
Company Name
Myplanet
Dates Employed
Mar 2019 дус Present
Employment Duration
6 mos
Location
Toronto, Canada Area
Junior Data Scientist
Company Name
Beam Data
Dates Employed
Oct 2018 дус Mar 2019
Employment Duration
6 mos
Location
Toronto, Canada Area
Built complex machine learning models to predict key information from images of receipts such as total amount, merchant name, etc for a mobile-app start-up:

дуў Preprocessed and cleaned raw data using Python libraries to be ingested in... See more
Senior Financial Advisor
Company Name
Scotiabank
Dates Employed
Dec 2014 дус Sep 2018
Employment Duration
3 yrs 10 mos
Location
Toronto, Canada Area
Sales And Marketing Associate
Company Name
RBC Dominion Securities
Dates Employed
2014
Employment Duration
less than a year
Location
Toronto, Canada Area","Education
WeCloudData
Field Of Study
Full-Stack Data Science Curriculum
Dates attended or expected graduation
2018 дус 2019
University of Toronto
Field Of Study
Mathematics and Statistics
Dates attended or expected graduation
2018 дус 2019
Select Coursework:
дуў Multivariable Calculus
дуў Methods of Data Analysis with Applications in R
дуў Theory of Statistical Practices
Schulich School of Business - York University
Degree Name
Bachelor of Business Administration - BBA
Field Of Study
Finance with Minor Specialization in Mathematics
Dates attended or expected graduation
2010 дус 2014
Activities and Societies: Equity Analyst at York Finance Club, Vice President of National Finance Students' Association
Select Quantitative Coursework:
дуў Probability & Statistics
дуў Advanced Linear Algebra
дуў Differential/Integral Calculus
дуў Discrete Mathematics
дуў Graph Theory"

fmfnogueira,"Experience
Data Scientist
Company Name
Chatkit (Formerly Shoppe AI)
Dates Employed
Jun 2016 дус Present
Employment Duration
3 yrs 3 mos
NLP, Computer Vision, Deep Learning, and all things machine learning
Data Scientist
Company Name
theScore, Inc.
Dates Employed
Jan 2016 дус Jun 2016
Employment Duration
6 mos
As a member of the Analytics Team I provided expertise in Machine Learning, Statistics and Probability, and helped the team identify and pursue opportunities to leverage its rich dataset.
... See more
Data Scientist
Company Name
FreshBooks
Dates Employed
Aug 2014 дус Jan 2016
Employment Duration
1 yr 6 mos
As a part of the Marketing department at FreshBooks, I employed my analytical and programming skills to assist the team in making data-driven decisions. My responsibilities included building predictive models, performing statistical analysis and facilitating access to data across the company.... See more
Company Name
The University of British Columbia
Total Duration
5 yrs
Title
Research Assistant
Dates Employed
Sep 2009 дус Aug 2014
Employment Duration
5 yrs
Location
Vancouver, Canada Area
During my doctoral studies in String Theory I was mainly interested in investigating how certain black holes can be thought of as holograms and how our understanding of their temperature and entropy is affected by this unexpected correspondence.
... See more
Title
Teaching Assistant
Dates Employed
Sep 2009 дус Aug 2014
Employment Duration
5 yrs
During my doctoral studies I worked as a Teaching Assistant for the Department of Physics and Astronomy, UBC. Throughout these five years I gained valuable experience supervising students and explaining complex subjects in a intelligible manner. Among the tasks I was responsible for, I:... See more","Education
The University of British Columbia
Degree Name
Doctor of Philosophy (Ph.D.)
Field Of Study
Theoretical and Mathematical Physics
Dates attended or expected graduation
2009 дус 2014
Title: The AdS/CFT correspondence: bulk to boundary map and applications.
Universidade Federal de Minas Gerais
Degree Name
Master's Degree
Field Of Study
Physics
Dates attended or expected graduation
2007 дус 2009
Title: Non autonomous gaussian systems: an application to cosmology
Universidade Federal de Minas Gerais
Degree Name
Bachelor's Degree
Field Of Study
Physics
Dates attended or expected graduation
2004 дус 2007
Minor: Mathematics"

goliu,"Experience
Lead Data Scientist
Company Name
Audacious Futures
Dates Employed
Nov 2018 дус Present
Employment Duration
10 mos
Data Scientist
Company Name
Karen
Dates Employed
Jul 2018 дус Nov 2018
Employment Duration
5 mos
Data Scientist
Company Name
The Globe and Mail
Dates Employed
Nov 2016 дус Mar 2018
Employment Duration
1 yr 5 mos
Data Scientist
Company Name
Workopolis
Dates Employed
Mar 2016 дус Nov 2016
Employment Duration
9 mos
QA Analyst
Company Name
PureFacts Financial Solutions Inc.
Dates Employed
Mar 2015 дус Jan 2016
Employment Duration
11 mos
Show 2 more experiences","Education
University of Toronto
Degree Name
Master of Applied Science (MASc)
Field Of Study
Cellular Hybrid Materials, Nanomaterials, Electrodeposition, Modeling
Dates attended or expected graduation
2012 дус 2014
University of Toronto
Degree Name
Bachelor of Applied Science (BASc)
Field Of Study
Materials Science and Engineering
Dates attended or expected graduation
2008 дус 2012
Activities and Societies: Materials Advantage, Engineering Consulting Club, Engineering Chinese Club"

guang-wang-7b190a3,"Experience
Data Scientist
Company Name
RBC
Dates Employed
Apr 2019 дус Present
Employment Duration
5 mos
Location
Toronto, Canada Area
Company Name
Scotiabank
Total Duration
6 yrs 3 mos
Title
Senior Manager, Customer Analytics & Data Infrastructure, Retail Customer & Channel Analytics
Dates Employed
May 2017 дус Apr 2019
Employment Duration
2 yrs
Location
Toronto, Canada Area
Big data oriented customer analytics using python shop
- Built up dev environment with python machine learning packages and APIs to data warehouse & hadoop data lake
- Sentiment analysis of customer feed backs using NLTK and LDA topic detec... See more
Title
Sr Project Leader, Risk Management IT
Dates Employed
Mar 2017 дус Apr 2017
Employment Duration
2 mos
Location
Toronto, Canada Area
- Performance evaluation of in-memory DB systems, running on Google clouds.
- Market Risk production support
Show 1 more role
Advanced Applications Developer (Backend)
Company Name
JPMorgan Chase
Dates Employed
Oct 2012 дус Feb 2013
Employment Duration
5 mos
- Back end Python/Django programming for Chase Offers project
- Website intergration to SingleSignOn(SSO) framework
- User role design and existing users migration, webbased ETL
Sr Developer
Company Name
Givex
Dates Employed
Aug 2008 дус Sep 2012
Employment Duration
4 yrs 2 mos
Python programming on both back end and front end of the Gift and Loyalty Card transactional core system as well as several internal tools.
Sr Software Engineer
Company Name
Zingy
Dates Employed
Dec 2004 дус Jul 2008
Employment Duration
3 yrs 8 mos
Worked in Reporting Team, Applicaiton Team( mobile ringtone/wallpaper delivery through WEB/WAP/MO, SMS; system migration & integration), Downloadable Team( mobile applications like MapQuest and Vindigo City Guide)
Show 1 more experience","Education
Concordia University
Degree Name
Master
Field Of Study
Computer Science
Dates attended or expected graduation
2001 дус 2004
Activities and Societies: DBLP: Guang Wang"

javier-moreno-a88810a4,"Experience
Data Science Lead
Company Name
Shopify
Dates Employed
May 2019 дус Present
Employment Duration
4 mos
Location
Toronto, Canada Area
Learning new games.
Company Name
Rubikloud Technologies
Total Duration
2 yrs 2 mos
Title
Data Science Manager
Dates Employed
Mar 2018 дус Apr 2019
Employment Duration
1 yr 2 mos
With a team composed by scientists and engineers, we are building the core of a customer data platform specialized in retail with extended statistical and machine learning capabilities for determining key marketing audiences and understanding their purchase behaviour.
Title
Senior Data Scientist
Dates Employed
Mar 2017 дус Mar 2018
Employment Duration
1 yr 1 mo
Location
Toronto, Canada Area
Leading and managing a team of machine learning engineers and data scientists in charge of the development of models and machine learning infrastructure for a general personalization engine specialized on retail customers using Luigi, PySpark, Numpy, PyMC3 and Scikit-Learn among others.... See more
Data Consultant
Company Name
Moebio Labs
Dates Employed
May 2014 дус Jan 2018
Employment Duration
3 yrs 9 mos
Data Consultant for various projects. The most recent with Skн_da's marketing department. With a team we are developing models for classifying and identifying individuals according to their car purchasing patterns as well as interactive visualization of multidimensional variables based on a collection of data of hundreds of th... See more
Senior Data Scientist
Company Name
MUSE д‹ў | The Brain Sensing Headband by Interaxon
Dates Employed
Nov 2014 дус Mar 2017
Employment Duration
2 yrs 5 mos
Location
Toronto, Canada Area
- Designing and implementing statistical learning models (supervised and unsupervised) for improving the quality, pertinence, insightfulness and depth of the experience offered to our users.
- Part of a team responsible of developing a robust and reliable data mining d... See more
Data Scientist and Developer
Company Name
INFOMETRIKA - Consultores en Informaciн_n
Dates Employed
Aug 2014 дус Oct 2014
Employment Duration
3 mos
With a team of programmers and statisticians we were developing a system for evaluating brand reputation and visibility for Colombian companies using data extracted from social networks. I was in charge of coordinating the design and implementation of models as well as a set of basic data operations and natural language proces... See more
Show 3 more experiences","Education
University of Illinois at Urbana-Champaign
Degree Name
Doctor of Philosophy (PhD)
Field Of Study
Mathematics
Dates attended or expected graduation
2001 дус 2008
Universidad Nacional de Colombia
Degree Name
Bachelor's degree
Field Of Study
Mathematics
Dates attended or expected graduation
1995 дус 2000"

jenguyen,"Experience
Lead Data Scientist
Company Name
Sun Life Financial
Dates Employed
Aug 2018 дус Present
Employment Duration
1 yr 1 mo
дуў Leading the execution of data science projects from intake to delivery
дуў Engaging with business partners to define and diagnose business problems
дуў Researching and designing machine learning solutions to optimize business functions
дуў Designing statistical experiments to evaluate and refine the implementation of ML solutions
дуў Providing subject matter expertise around data science tools and techniques
Data Scientist
Company Name
Scribd
Dates Employed
Mar 2018 дус Jul 2018
Employment Duration
5 mos
дуўResearched methods to optimize content catalogue and manage licensing costs using linear programming
дуўDesigned and analyzed A/B tests to measure effectiveness of product features
дуўBuilt Tableau dashboards to provide decision support for stakeholders
Company Name
The Globe and Mail
Total Duration
3 yrs 3 mos
Title
Product Manager, Analytics
Dates Employed
Sep 2017 дус Jan 2018
Employment Duration
5 mos
дуўGathered requirements from stakeholders and defining analytics roadmap
дуўLed team of internal and external analysts and developers to implement end-to-end analytics pipeline in AWS
дуўSupervised AI projects to improve analytics system, e.g., anomaly detection... See more
Title
Senior Data Analyst
Dates Employed
Apr 2016 дус Sep 2017
Employment Duration
1 yr 6 mos
