,job_title,company,location,job_summary
18,Data Scientist - Client Success,Equifax,"Toronto, ON","would you like to work in a fully agile environment? your main objective as a data scientist at equifax will be to work directly with customers to support their use of key analytical products, utilising your technical and analytical background.
who are we at equifax?
we are a global information solutions company that uses trusted unique data, creative analytics, technology and industry expertise to power organizations and individuals around the world by transforming knowledge into insights that help make more informed business and personal decisions.
regardless of location or role, the individual and collective work of our people makes a difference in our business.
we are looking for individuals who can help us disrupt the marketplace. you will do this by delivering leading-edge technology to build and deliver unparalleled customized insights that enrich both the performance of businesses and the lives of consumers.
about the job
we will give you the opportunity to drive innovation and automation across the enterprise. this includes tool and process integrations across all business units within equifax globally.
you will be a main point of contact for our clients to assist them in developing new queries or advise on appropriate analytical techniques to address a variety of business issues. by using your deep knowledge of equifax data assets, you will proactively produce analytics to generate additional value from the different solution installations. this will include advanced modeling techniques and machine learning when applicable.
in addition to supporting specific analytical platforms, our new data scientist may be deployed directly with customers for special projects. this could include the application of specific skills, such as machine learning, or represent additional capacity to the customer for key work. the broad experience of our data scientist will provide strong domain expertise that will deliver better outcomes for key customers.
responsibilities of the data scientist – client success include:
you will utilise tools, including python, r, sql and sas to extract data and assist others users to improve the performance of queries.
by working closely with customers, you will understand the objectives of their projects and be able to interpret the business need into a sound analysis plan that considers all relevant data.
utilising your teamwork skills, you will collaborate with the data management team to load new data into the environment as needed and work closely with the it system administrators to ensure data quality remains strong.
effectively communicate analytical results to key partners using strong data visualizations, strong presentation skills and business language to emphasize the so what of the analysis.
you’ll act as the primary contact for equifax customers using ignite solutions (equifax product) to answer technical inquiries or provide guidance on the use of equifax data within specific analytical methodologies.
you will continually mine the data assets to identify emerging trends and proactively inform key partners within the assigned customers to drive and influence strategy.
by demonstrating your experience with data visualization tools, you will improve productivity while ensuring results are consistent across the organization.
use advanced techniques or partner with statisticians to build out predictive models that address new opportunities for a customer based on a deep understanding of their business need
requirements
required skills:
proven hands-on experience designing and building analytical solutions to solve real world problems, with limited direct supervision required
3+ years’ data manipulation experience with deep knowledge of r, python, sas or sql in a large data environment
strong knowledge of hadoop tools such as hive or impala
demonstrable experience in a client-facing role with direct contact and client management responsibilities for specific deliverables
3+ years using advanced analytical techniques including decision trees, logistical regression, and, preferably, machine learning methodologies
experience or strong knowledge of a key industry including retail lending, credit cards, mortgages, auto lending, government or telco
experience with data visualization tools (spotfire, tableau, qlik) is an asset
preferred skills:
working knowledge of database design, data modeling, risk management and/or marketing practices, statistical/predictive modeling
education
bachelor’s or advanced degree in a quantitative discipline such as engineering, economics, mathematics, statistics, or physics (essential)
master’s level degree in a business-related field/mba (preferred)
what else?
we are an equal opportunity employer and value diversity at our company. we do not discriminate on the basis of race, religion, colour, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
to speak to us about this role in more detail apply online.
primary location:
can-toronto-5700 yonge
function:
function - data and analytics
schedule:
full time"
19,Data Scientist,Staffinity Inc.,"Toronto, ON","about staffinitywe are canada’s trusted bilingual recruiting, short and long-term staffing service provider. our primary goal has been matching sought-after employers with talented candidates. we are your source to get you in front of desirable employers who are now hiring in your area. staffinity is an equal opportunity employer. please visit us at https://staffinity.ca to get more information!staffinity is currently seeking a data scientist for a client in toronto on. this is a permanent position with excellent benefits.responsibilities:interpret data, analyze results using statistical techniques and provide ongoing reportsdevelop and implement data collection systems and other strategies that optimize statistical efficiency and data qualityacquire data from primary or secondary data sources and maintain databases/data systemsidentify, analyze, and interpret trends or patterns in complex data setsfilter and ?clean? data, and review computer reports, printouts, and performance indicators to locate and correct code problemswork closely with management to prioritize business and information needslocate and define new process improvement opportunitiesqualifications:3+ years experience in r2+ years experience in warehousing data5+ years of software development experience2+ years of machine learning algorithms, probabilistic models, and other statistical modelling approachesability to write complex sql queries.nosql, mapreduce, and hive is a plus.cloud computingsoftware engineering designwhy work with usexciting, dynamic company that is pushing new technologyexcellent compensation and benefitsgreat work/life balancejob type: full-timesalary: $85,000.00 to $110,000.00 /yearexperience:r programming: 3 years (preferred)warehousing data: 2 years (preferred)"
20,Data Scientist,Proex Inc,"North York, ON","data scientist
(4-month contract)
toronto, on
pharmaceutical manufacturing

your task:
write algorithms on anomaly detection
your background:
manufacturing would be the ideal, but finance experience is also of interest (writing algorithms for fraud prevention is a good parallel to the type of anomaly detection that is required for this assignment)
pharma experience would be an asset, but not necessary.

[alten-email email=heather@proex.ca]"
21,Data Scientist (Maternity Leave replacement),ruby Life Inc.,"Toronto, ON","your next opportunity is with usruby is a global technology company that is home to the world’s most unique dating web sites. like relationships, ruby is complex and multifaceted. ashley madison, the flagship brand of ruby, is revolutionizing the way millions of people located around the world connect and meet. as a canadian technology company driven by analytics and user centric design, we care about our customer experience and are continuously looking for ways to make it better!life is short, be agile and step out of the box. does the idea of working creatively every day with the ability to dig deeper and solve huge problems intrigue you? do you envision yourself working with smart people in a collaborative, fast-paced, environment using the latest technology tools? have you always dreamed about working for a company where you can apply your great talents and continue to learn and grow throughout your career? if you answered “yes” to all of these questions then ruby is the place for you!we work hard, play hard and have fun. we foster a culture where you can be yourself and where diversity of thought and opinion is expected.data scientisthere's what you'll dodevelop custom ad-hoc queries to extract and manipulate raw data from various databasework with relational database (sql server) & nosql database structurebuild complex data models and machine learning implementations by intensive programming in python.work with big data framework such as apache spark, hadoop etc. to distill actionable insights from billions of data recordsdevelop and produce automated reports for stakeholders and ad-hoc reporting for business.design a/b test experiments and analyze outcomes, user behavioral data, and marketing campaign effectiveness, and making recommendations to improve user site experience.solicit information from stakeholders to understand the needs of their various organizationsexecute quantitative analyses that translate data into actionable insights. provide analytical and data-driven decision-making support for key projectscommunicate clearly and effectively to stakeholders who do not understand data, statistical methods, or statistical conclusionsdeliver timely responses to stakeholders and interpretations to drive business decisionsprovide training, guidance, and work leadership to new/less-experienced data analystslocate and define new analytic process opportunities for improvement.lead independent analytical research projectshere's what you'll needdegree in statistics, mathematics, computer science or engineering or equivalentphd degree with work experience to be considered as senior levelintermediate level - 5+ years’ related work experience.proficient in python programming and machine learning frameworks (e.g. tensorflow, keras, caffe)strong analytical skills and applied mathematical background.ability to develop custom sql queries to extract and manipulate raw data from databaseexperience working with relational database (sql server) & nosqlresponsible for a full data processing cycle, including extracting data from large data bases, preparation of data for analyses (i.e. data cleaning),data integrity checking, deriving additional measures to be used for analysis, and preparing written documentation regarding data specifications.solid knowledge of applied statistics, such as experimental design, regression, time series forecasting methodologies.strong verbal and written skills for delivering data driven insights to non-technical audiencesdeep understanding of machine learning algorithms and statistical modelling; and their application to gain data insights and draw actionable recommendations.ability to mentor and manage tasks for junior analysts.expert level of data visualization techniquesability to lead analytic project from planning to execution.here’s what we provide: an aggressive compensation package and plus incentive commission planwe are conveniently located just steps from the ttc subwaythe opportunity to work with brilliant people in an entrepreneurial, forward thinking environmentfriday mixer every weekfree company lunch every 2 weeksfree company breakfast every fridayincredible social events.qualified candidates should send a resume, cover letter to us. in the email subject line please reference ""data scientist"".we thank all applicants for their interest ruby; however only those candidates selected for an interview will be contacted. ruby life inc. is an equal opportunity employer and strongly supports diversity in the workplace.please note that ruby is committed to complying with the accessibility for ontarian’s with disabilities act, 2005, and has policies in place to accommodate candidates with disabilities during the selection process. should you require accommodation or have a question regarding any of these policies, please contact us.job type: full-timeeducation:post-doctorate (required)"
22,"Manager, Data Scientist (2 year contract)",Scotiabank,"Toronto, ON","requisition id: 66267
join the global community of scotiabankers to help customers become better off.

purpose of job

customer management is part of grm retail risk credit and life cycles strategies. this job facilitates and monitors the effective implementation of risk strategies for the c&ca; based on large-scale data solutions and the interaction of multiple risk decision technologies

key job accountabilities
design and build machine learning solutions to retail credit risk stragies leveraging big data decisions in core banking systems and credit risk technologies
support existing analytic pipelines by delivering innovative, cleanly coded and well documented machine learning models to improve the profitability and credit risk life cycle decisioning
this individual will leverage large-scale data skills to manage and transform multiple sourced data and non-traditional data timely delivered
deliverables will be set under agile rapid lab environments
excellent communication and presentation skills

skills, experience required
2+ years hand-on industry experience in a machine learning role working with python (data analysis libraries)
4+ years total machine learning experience, including years of academic research
solid experience designing and building large-scale data solutions to business problems and or modeling development
proficiency in database management such as sas, ssps, sql is desired but not a requirement

education requirements:
university / master’s degree in computer science or related field
location(s): canada : ontario : toronto
as canada's international bank, we are a diverse and global team. we speak more than 100 languages with backgrounds from more than 120 countries. we value the unique skills and experiences each individual brings to the bank, and are committed to creating and maintaining an inclusive and accessible environment for everyone. if you require accommodation (including, but not limited to, an accessible interview site, alternate format documents, asl interpreter, or assistive technology) during the recruitment and selection process, please let our recruitment team know. if you require technical assistance please click here. candidates must apply directly online to be considered for this role. we thank all applicants for their interest in a career at scotiabank; however, only those candidates who are selected for an interview will be contacted."
23,"Data Scientist, Performance Strategy Intelligence (English S...",CBC/Radio-Canada,"Toronto, ON","job family media production
primary location toronto
position language requirement bilingual (english / french)
language skill levels (reading / writing / speaking) - - -
status of employment permanent
work schedule(s) full-time


 what it's like working at cbc
 cbc digital products is the country’s biggest digital startup, taking on the challenges of innovating how media is made, sent and received. we are also part of canada’s oldest and truest broadcasting company. we are trying new things. we are growing. as an entity of our own. as a voice for our country. as a team.
digital is a part of our present and all of our future. cbc’s strategy is focused on becoming a digital-first organization that provides a digital platform for storytellers. our mission is to engage our audience with stories they care about.
the performance strategy intelligence (psi) team is a brand new team with a profound mission at cbc: to enable better decision making at the senior producer level; increase collaboration across content units and digital product teams; and, align team-level actions with overall strategic goals. we:
are a small, agile team with the mandate to influence the entire organization.
partner with senior leaders across the organization to evolve digital performance measurement to align with cbc strategic goals.

the opportunity
this isn’t your typical data science role. we have an enviable wealth of data at our disposal and we want to use it to make better decisions on strategic level. we’re looking for a data scientist with familiarity with visualization tools who can contribute to machine intelligence related projects.

as a data scientist we are looking for someone who can create, expand, optimize data pipelines to enable continued research into audience behaviour. you will solve problems with data integration, and will be keen to work with both structured and unstructured datasets.

as a data scientist we are looking for someone who thrives in ambiguity and enjoys finding innovative solutions to data modelling, data presentation and visual storytelling.
applying data visualization and service design principles along with continuous improvement methods to develop and refine a presentation layer optimized for user experience.designing and implementing product features in collaboration with various stakeholders.translating algorithmic models and analysis into visualizations that are easily understandable by non-technical members of the organization.

if you're passionate about technology, experimentation and bringing out the best in others, you’ll love working at cbc.

what’s in it for you
cutting edge tech. you will work with developers to build a scalable front end data presentation layer, assist in developing training materials, and work closely with stakeholders to refine and optimize data solutions to drive business results.
building. you will work collaboratively with the team, to define visualization requirements and align key metrics with strategic performance.
career growth. by joining a newly created team with a high impact mission, there is ample opportunity to experiment and learn. cbc is fully invested in our people. we will provide you with the time, resources and championing that you need to keep your career here rewarding.
why join us?
cbc/radio-canada reflects the canadian identity and promotes democracy. we strive to represent the voices of the country and support social and economic innovation. our values - collaboration, learning and continuous improvement- embody who we are as a people-focused, digital-forward employer. we offer a rare-in-tech work-life balance with flexible schedules and an excellent benefits package. we want to ensure you are happy in and out of the office.
collaboration. we follow lean startup principles and use an agile approach. our dedicated people managers work closely with every individual to ensure we are leveraging their strengths, championing their ideas and supporting their pursuit of new skills and career progression.
learning. from simply buying a book or recommending a course to one-on-ones, our leadership team is focused on creating an atmosphere where people feel fulfilled. our team members are given opportunities to learn and work cross-functionally across multiple projects.
continuous improvement. what can you innovate in 8 hours a week? our digital department at cbc recognizes just how smart, creative and inventive our team members are. from prototyping new ui/ux to setting up dev environments to experiment on and learning new programming languages to creating improved search functions for our media. wherever your interests lie, your 20% time is yours to allocate in a productive and professionally gratifying way.

candidates may be subject to skills and knowledge testing.

what you bring:
strong analytical skills including data querying, working with first and third party data sets, and click stream behaviour
passion to collaborate with both technical and non-technical colleagues in content and digital product teams
experience with data visualization tools such as tableau, google data studio or powerbi
the education and the technical skills. at a minimum a computer science, engineering degree or equivalent. strong sql, python, adobe analytics, and comscore mediametrix is preferred along with knowledge and experience in big data technologies, google cloud platform, etl, statistics, or academic research.
to apply:
think this job is meant for you but worried you don’t have it all? at cbc we know that not everyone takes the same path when it comes to building their skills. you can read about the various backgrounds the talented people that make up our team bring to us here.
hands-on experience, intelligence, innovation, a passion for learning and a team-focused approach can combine to form the best set of qualifications. if you feel you meet all or most of the qualifications we are seeking; and you are excited by the possibility of growing our company, take a chance and express your interest here.
in becoming the leader in expressing canadian culture and enriching democratic life, we need to be as diverse in every way as the country we serve, both within our workforce and on air. as an employer, we value equal opportunity and nurture an inclusive workplace where our individual differences are not only recognized and valued, but also extend to and pervade all the services we provide as canada's public broadcaster.
cbc/radio-canada is an equal opportunity employer. we are committed to providing reasonable accommodations, if required, and will work with you to meet your needs. if you are a person with a disability and require assistance during the application process, please contact us.
if this sounds interesting, please click on ''apply online''. we thank all applicants for their interest, but only candidates selected for an interview will be contacted.

cbc/radio-canada is committed to being a leader in reflecting our country’s diversity. that’s because we can only create and tell the stories that connect canadians, by having a workforce that mirrors the ever-changing makeup of our country. that’s why we, as an employer, value equal opportunity and nurture an inclusive workplace where our individual differences are not only recognized and valued, but also extend to and pervade all the services we provide as canada’s public broadcaster. for more information, visit the diversity and inclusion section of our website. if you have accommodation needs at this stage of the recruitment process, please inform us as soon as possible by sending an e-mail to recruitment@cbc.ca.

you are invited to consult and familiarize yourself with our code of conduct, which can be found on our corporate website. all employees must adhere to the code as a condition of employment. we also invite you to take a look at our policy on conflicts of interest. in the event that you become an employee, it will be important to inform us, as quickly as possible, of any situation that, because of your hiring, constitutes or could appear to constitute a conflict of interest.

wherever in the wording of the job description either gender is used, it shall be understood to include all genders.


job posting date aug 9, 2019, 10:00:13 am
unposting date aug 22, 2019, 10:59:00 pm"
24,Data Scientist,StackPros,"Toronto, ON","data scientist

stackpros inc. is seeking a full-time candidate to join our data systems team in toronto.

the data scientist will play a key role at stackpros, required to help create and maintain industry-leading quality and efficiency of service and software delivery.

stackpros will rely on the data scientist to support the data systems team across many types of projects. the data scientist will be expected to meet and exceed stackpros’ quality standards, while helping the organization rapidly expand complex machine learning, deep learning, ai and related applications.


key responsibilities:

apply automated techniques to gather data from disparate databases; clean the data and load the transformed data into a structure suited to the client problem and analytics approach
perform exploratory data analysis to identify patterns from historical data, generate and test hypotheses, and provide product owners with actionable insights
design experiments for product initiatives and perform statistical analysis of the results with recommendations for next steps and future experiments
building machine learning models (linear and logistic regression, gradient boosting, random forest, etc.) from development, validation, through to deployment in production
help validate, maintain, optimize, and troubleshoot the performance of machine learning models being used in development and production applications
create and design dashboards by using different data visualization tools to present reports and insights, and support business decision making
prepare technical specifications and documentation for projects
apply automated techniques to gather data from disparate databases; clean the data and load the transformed data into a structure suited to the client problem and analytics approach


related/complimentary data engineer workflows:

apply automated techniques to gather data from disparate databases; clean the data and load the transformed data into a structure suited to the client problem and analytics approach


qualifications:

extensive experience using python (pandas, numpy, matplotlib, searborn) to analyze large dataset.
extensive experience using sql queries to extract data from relational database
experience working with aws cloud or google cloud platform
experience using spark
experience using scikit-learn, tensorflow, h2o etc."
25,Data Scientist (Loyalty and R&D),Points International,"Toronto, ON","job description

points is looking for a results-oriented, experienced data scientist to join our advanced analytics and data science team based in our downtown toronto office.
we’re an industry-leading organization that is continuously reshaping how consumers interact with their loyalty programs. we work with the world’s largest airline, hotel, financial, and retail rewards programs, to tackle complex challenges and come up with innovative e-commerce solutions. if you’d like to be a part of it, we’d love to hear from you.
the data scientist is a key role in delivering the advanced analytics/predictive modelling capability within our organization and on behalf of our valued loyalty partners.
as a data scientist, you will be working in fast-paced environment, actively supporting fact based decision making across the enterprise. you will have exposure to all of points lobs (lines of business), advanced marketing & merchandising capabilities, customer database & channels and will actively support revenue generation & capability enhancements. your key responsibilities include:
powering revenue growth through the design and implementation of algorithms, machine learning & decision intelligence. this includes promo, price & assortment optimization, including dynamic personalized recommendations at the customer & product level across ota (sort, price & margin algorithms that drive travel e-commerce sites), airline, hotel & loyalty sites.
researching, designing and implementing analytical models and algorithms that will be utilized for promotion, pricing, product, media & revenue optimization.
identify predictive attributes through neural nets & function engineering - and model the expected opportunity rates of return of your recommendations
analyzing & distilling loyalty insights from diverse data sets (member, segment & program level)
enabling best in class offer generation (customer targeting & offer assignment) & optimization based on all the available data, scores & model outputs. includes dynamic attributes.
elevate the data science discipline by providing coaching & thought leadership to junior members of the technical team.
reporting to our lead, data scientist, this role supports the mandate of accelerated growth. the data scientist is responsible to:
perform “hands-on” data science activities; including predictive modelling, clustering, design of experiment and significance testing, & work with the team to ensure the quality of analysis.
work with the lead data scientist to champion development of next-generation analytic models (econometric/propensity/forecasting), optimization (promotion, pricing, revenue, media) and their deployment /productionization across the enterprise.
identify patterns in customer behaviour, predict future behaviour and deploy to market for growth.
build & train models for production, monitor & refine existing algorithms to systematically increase the sophistication & utility of marketing’s analytic capability & customer intelligence.
work closely with stakeholders to understand their needs, develop solutions & assist test n learn.
provide key insights & recommendations to drive business performance and test / validate leading hypothesis & theories.
identify additional sources of data & predictive attributes which can improve existing products and/or enable the creation of actionable intelligence.

qualifications

masters or phd in physics/math/computer science/statistics or equivalent
over 5 years’ experience applying data science including but not limited to econometric modeling, classification and prediction models, time series analysis, clustering, recommender systems & machine learning.
deep understanding of ml algorithms (from linear regression to neural networks), objective and cost functions, overfitting, imbalanced data
proven experience with feature engineering, dimensionality reduction and clustering
solid understanding of and experience building hybrid recommender systems
strong python, sql and analytical skills
advanced interpersonal and communication skills
familiarity with data warehousing, data processing pipelines and data structures
ability to communicate/present complex ideas/analysis in a concise, business-friendly manner
natural curiosity to solve problems and find meaning in complex data sets & customer behaviour analysis.
strong business acumen to apply recommendations in the proper commercial context.
experience with automating data science models is a plus
experience in deploying/testing models in production is a plus
hotel e-commerce and/or marketing analytics experience a significant plus.
loyalty, retail, e-commerce and/or marketing analytics experience a strong plus.
additional information

building a great company culture is as vital to us as building a great business. over the last 5 years points has been the recipient of the following awards:
best workplaces (medium) in canada
best workplaces for women. we were also named one of
canada’s top small and medium employers
greater toronto’s top employers
here are some of the perks that are included in our points culture:
central downtown location in the financial district
connected to the path network of shops/restaurants
we want to celebrate with you: all employees get an extra day off for their birthdays!
flexible work hours and casual dress every day
marvelous snack cart fridays: free refreshments and snacks!
free coffee, tea, juice, pop, and snacks
monthly subsidized lunch program
green commuter and fitness subsidies
secure bike storage with showers and towel service
company-sponsored activities: bowling, movies, sports, paintball, and more!
points is an equal opportunity employer and is committed to providing an accessible recruitment process. upon request we will provide accommodation for applicants with disabilities.
all your information will be kept confidential.
no agencies please."
26,Data Scientist,Tangerine Bank,"North York, ON","tangerine is canada’s leading direct bank. we offer flexible and accessible banking options, innovative products, and award-winning client service. the reason why tangerine employees come to work each day is to help canadians live better lives. we focus on making a difference in our communities, and that includes our own internal community. it’s important to us that our employees feel empowered and enthusiastic about belonging to our orange culture.

department summary
the data science and analytics department consults with all areas of the business using deep analytics to optimize business decisions that align with strategic priorities.

role purpose
the data science and analytics team will contribute to building a data-driven decision making culture across all lines of business with thought leadership through analytics.

reporting to the senior manager of data science and analytics, this role will focus on client and account behavior to identify segments, build predictive models and identify opportunities supporting the bank’s. the role supports tangerine by providing advanced analytical solutions, and influences tangerine’s strategic and operational decisions consumer behaviour initiatives.

role is responsible for the design and development of a suite of mathematical, statistical and predictive models to price, acquire, grow and retain tangerine customers. these models are used by business lines in order to create client level decisions and actions grow customer value and improve customer experiences. the incumbent will also monitor performance of the analytical framework and to identify potential improvements. the incumbent will also identify data acquisition opportunities.

role accountabilities
design and build optimization and predictive models, such as: client segmentation, product and customer attrition models, and customer/product future value modelling. ensure that the bank's investment in statistical models is maintained through the development of model performance tracking systems.
work with business lines across the organization to understand complex data networks and navigate through data to get at the relevant information to inform business decisions.
expand the bank's competency in data sciences by identifying industry best practices and staying current on emerging trends in the field. develop a framework, processes and procedures to ensure that model development is efficient and conducted in a timely fashion.
acquire and filter through large volumes of information to develop recommendations through behavioral analytics.
identify data gaps with respect to predicting customer behaviour within the overall data environment and support projects to acquire such information.
work with large datasets and distributed computing tools for analytics.
proactively prepare performance summaries and recommendations to drive growth and improve customer experience.
other duties as assigned.


minimum qualifications
education/experience
1-2 years’ experience with in devops environment or applied analytics.
a university degree in a stem or stem-related discipline; a masters or phd level would be beneficial
experience with machine learning algorithms is an asset
technical skills
experience with programming languages such as python and spark (java or other programming languages would also be an asset). ability to leverage distributed computing tools (e.g. spark, hadoop) for analysis, data mining and modeling
familiarity with cloud compute environments and devops practices are an asset
experience with machine learning frameworks such as tensorflow and keras
experience cleaning, managing and visualizing data (structured and unstructured)
solid sql skills for querying relational databases (sql server, db2, mysql)
experience cleaning, managing and visualizing data (structured and unstructured)
working conditions
the role will be working in a traditional office environment and may be subject to special working conditions as needed by the business. special working conditions may cover a range of circumstances from regular evening and weekend work, overtime, shift work, working outdoors and/or working with challenging clients.

direct reports
no.

disability accomodation
tangerine will make reasonable accommodations for the known physical or mental disabilities of an otherwise qualified employee or applicant for employment, unless undue hardship to tangerine would result. any applicant or employee who requires accommodation in order to perform the essential functions of a job should contact human resources or his or her supervisor.

managing risk
all members of the tangerine team are responsible for managing risk and compliance within their departments. as such, employees should maintain and demonstrate the highest standards of integrity and ethical conduct in accordance with tangerine policies, guidelines and directions.

location(s): canada : ontario : north york

at tangerine we value the unique skills and experiences each individual brings to the team, and are committed to creating and maintaining an inclusive and accessible environment. if you require accommodation during the recruitment and selection process, please let our recruitment team know."
27,Data Scientist/Time Series,Scarsin,"Markham, ON","reporting directly to the director of data science, this role is pivotal in implementing advanced time series solutions to deliver high quality results to clients.

you will be interacting with multi-function teams, including data integration, model development and other consulting functions to implement best practice and thought leadership.

this role also works very closely with client project sponsors to ensure client satisfaction and business requirement fulfillment.

duties and responsibilities

implement currently available time series forecasting models
develop customized forecasting algorithms required by specifications of each project
prototype, simulate and benchmark accuracy of algorithms
develops production-ready codes in r
works with main stakeholders including but not limited to: account executives, management, project managers and consulting teams
performs various other duties as delegated or assigned.
required knowledge, skills, and experience
the successful incumbent will have:
graduate degree in a statistics, math computer science or engineering program;
proficient in time series analysis and forecasting
fundamental knowledge of supervised and unsupervised machine learning
experience with data preprocessing, anomaly/outlier detection
advanced programming skills in r language is mandatory;
knowledge of pharmaceutical industry is an asset;
capability to adapt in fast changing environment and eager to learn
the ability to travel and work outside regular business hours as required;
proven, motivated self-starter with the ability to lead by example and approach and solve business problems;
experience working in cross-functional teams with the agility to learn new software applications and technologies;
demonstrated time management, problem solving and decision making competencies;
ability to work autonomously and in teams to effectively prioritize multiple projects and associated deliverables;
proven excellent communication, including presentation, hands on analytical with business savviness and customer relationship abilities;
proven ability to comprehend, analyze and research problems of a complex nature, make decisions and/or present recommendations;
preference for fast paced, rapid start-up culture demonstrating the values of results, teamwork, energy, agility, respect, and can-do environment"
28,Data Scientist - Information Technology,Corus Entertainment,"Toronto, ON","are you creative, dynamic and passionate? do you like to think outside of the box and find new ways to achieve your goals? corus entertainment has an exciting opportunity for you. if you have a passion for excellence, and would like to work for corus entertainment, we encourage you to apply.

corus entertainment has an exciting new opportunity to join our newly formed data science team. if you have a strong background working with data and its application to addressing business challenges, and are looking for a dynamic, forward-looking work environment, we encourage you to apply.
data scientist
division: corporate – information technology
work status: full-time
location: corus quay

about the role:
reporting to the vp of it & technology delivery, you will be responsible for applying data analytics, statistical techniques, and machine learning to business problems as defined in collaboration with our business teams, including working with the other data science team members to develop and deliver data driven products, tools, and workflows.

responsibilities:

develop models using appropriate data science techniques to generate actionable insights, working alongside product owners from the various business units at corus
identification of data sources within the business and integration of those sources into the data technology platforms to support analysis and data workflows
ad hoc analysis where requested by the business
thought leadership on data organization, approaches, workflows, and processes that allow the translation of real-world business problems into useful internal and external products and services
maintaining up-to-date industry knowledge around the practice of data science and the technology stacks that support it
work with it, digital, and broadcast technology teams to operationalize data driven workflows
collaborate with other members of the data science team to design and operate the technology stack used to support data analysis

about you

what we need from you:

ba/bs or ms degree in computer science, data science, applied mathematics or other related field
two or more years professional experience at a media company is desirable
expertise in data science related development language, such as python (preferred), r, or scala
expertise in cloud-based technology stacks for data analytics (amazon web services, google cloud platform)
expertise with machine learning and statistical modeling tools such as scikitlearn, pandas, tensorflow, and/or keras
experience working in an agile environment
experience with data visualization and presentation
great communication skills with the equal ability to work with technologists as well as translating to non-technical business stakeholders with ease
proven capacity to deliver excellent results to stakeholders/clients
commitment to continuous education in a fast evolving industry

if you have the following….we want to hear from you!

self-directed, accountable, proactive, organized, efficient, tenacious (persistent about bringing open items/projects to closure), engaged, enthusiastic, able to lead, motivate and drive results
ability to balance multiple, competing directions, identify and delegate tasks effectively and manage multiple projects successfully.
client service focus
great communication skills, written, verbal, presentation and the ability to influence others
proven leadership capabilities
solutions oriented approach to problem solving
teamwork focus and ability to operate in a matrix style organization
proven capacity to deliver excellent results to stakeholders/clients
a desire to be a part of a new data science practice and grow it to be a successful and integral part of our business

why corus?

corus is a driving force in the media industry with a diverse portfolio of strong brands that entertain and inform audiences through great storytelling and compelling content, reaching millions of people around the world every day.

we have a passionate drive to connect with the world around us: to express, to share, to be part of people's lives. walk around our offices, our stations, our studios across the country and you'll feel it. you'll see it in action.

you'll see it in the open communication and the approachability of our people. you'll see it in our care for quality work and the interest in new, creative solutions. you'll see it in how we work with external partners, and how we care about our communities. these are all core to the values we commit to living each and every day - win together, think beyond, make it happen, learn every day, show we care. our values describe what makes us pretty unique - and amazing - place to work.

corus is committed to providing a fair and equitable work environment and encourages applications from qualified women, men, visible minorities, aboriginal peoples and persons with disabilities. corus is also committed to providing accommodations throughout the interview and employment process. if you require an accommodation we will work with you to meet your needs.

how to apply

if you're interested in this role, click 'apply now'.


no phone calls please. only those selected for an interview will be contacted.

"
